Player 1 pattern,bbb,bbr,brb,brr,rbb,rbr,rrb,rrr
bbb,,36.67% (12.60%),40.33% (10.13%),33.43% (14.94%),36.59% (12.67%),37.85% (13.77%),33.37% (14.93%),39.64% (21.15%)
bbr,50.73% (12.60%),,44.38% (15.24%),38.63% (22.12%),19.01% (61.95%),44.48% (12.73%),38.95% (21.45%),51.62% (15.02%)
brb,49.55% (10.13%),40.38% (15.24%),,42.41% (12.71%),40.44% (15.15%),38.31% (22.56%),42.34% (12.67%),48.26% (13.84%)
brr,51.64% (14.94%),39.25% (22.12%),44.87% (12.71%),,39.50% (21.61%),44.29% (15.32%),19.02% (61.95%),51.14% (12.61%)
rbb,50.74% (12.67%),19.04% (61.95%),44.41% (15.15%),38.89% (21.61%),,44.45% (12.80%),38.65% (22.10%),51.64% (15.03%)
rbr,48.38% (13.77%),42.79% (12.73%),39.12% (22.56%),40.38% (15.32%),42.74% (12.80%),,40.37% (15.18%),50.01% (9.91%)
rrb,51.69% (14.93%),39.60% (21.45%),44.99% (12.67%),19.02% (61.95%),39.25% (22.10%),44.45% (15.18%),,51.18% (12.51%)
rrr,39.21% (21.15%),33.36% (15.02%),37.89% (13.84%),36.25% (12.61%),33.33% (15.03%),40.08% (9.91%),36.31% (12.51%),
