Player 1 pattern,bbb,bbr,brb,brr,rbb,rbr,rrb,rrr
bbb,,40.46% (15.44%),21.18% (12.35%),11.27% (11.80%),0.11% (0.40%),16.78% (13.80%),0.84% (2.44%),32.54% (34.95%)
bbr,44.11% (15.44%),,80.10% (8.29%),88.29% (6.52%),2.63% (3.82%),79.22% (9.45%),40.95% (18.13%),96.73% (2.43%)
brb,66.47% (12.35%),11.62% (8.29%),,43.17% (13.66%),42.36% (13.43%),40.61% (18.71%),11.34% (9.41%),69.40% (13.79%)
brr,76.93% (11.80%),5.19% (6.52%),43.17% (13.66%),,43.18% (13.66%),44.20% (13.43%),93.54% (3.84%),99.49% (0.40%)
rbb,99.48% (0.40%),93.55% (3.82%),44.21% (13.43%),43.16% (13.66%),,43.13% (13.69%),5.18% (6.54%),76.93% (11.81%)
rbr,69.42% (13.80%),11.34% (9.45%),40.67% (18.71%),42.37% (13.43%),43.18% (13.69%),,11.63% (8.30%),66.50% (12.34%)
rrb,96.72% (2.44%),40.92% (18.13%),79.24% (9.41%),2.62% (3.84%),88.27% (6.54%),80.08% (8.30%),,44.13% (15.44%)
rrr,32.50% (34.95%),0.83% (2.43%),16.80% (13.79%),0.11% (0.40%),11.26% (11.81%),21.16% (12.34%),40.43% (15.44%),
