Player 1 pattern,bbb,bbr,brb,brr,rbb,rbr,rrb,rrr
bbb,,47.85% (2.29%),28.61% (1.80%),18.94% (2.29%),0.01% (0.00%),26.38% (2.30%),1.75% (0.51%),48.60% (3.23%)
bbr,49.87% (2.29%),,83.68% (1.65%),93.67% (1.32%),0.07% (0.03%),83.88% (2.38%),46.71% (5.96%),97.72% (0.49%)
brb,69.59% (1.80%),14.68% (1.65%),,49.70% (3.13%),48.12% (2.52%),48.67% (2.71%),13.50% (2.35%),71.32% (2.28%)
brr,78.77% (2.29%),5.01% (1.32%),47.17% (3.13%),,48.47% (3.84%),49.21% (2.52%),99.92% (0.03%),100.00% (0.00%)
rbb,99.99% (0.00%),99.90% (0.03%),49.36% (2.52%),47.69% (3.84%),,46.90% (3.01%),4.90% (1.20%),78.59% (2.39%)
rbr,71.32% (2.30%),13.74% (2.38%),48.62% (2.71%),48.27% (2.52%),50.09% (3.01%),,14.67% (1.61%),69.99% (1.80%)
rrb,97.75% (0.51%),47.33% (5.96%),84.15% (2.35%),0.05% (0.03%),93.91% (1.20%),83.72% (1.61%),,50.38% (2.29%)
rrr,48.17% (3.23%),1.79% (0.49%),26.39% (2.28%),0.00% (0.00%),19.02% (2.39%),28.21% (1.80%),47.33% (2.29%),
